word,pronunciation,sense
厂子,chǎnɡ•zi,①工厂：我们～里新建一个车间。②指有宽敞地面可以存放货物并进行加工的商店。
场子,chǎnɡ•zi,适应某种需要的比较大的地方：大～｜空～。
车子,chē•zi,①车（多指小型的）。②自行车。
蛏子,chēnɡ•zi,软体动物，有两扇狭长的介壳。生活在近岸的海水里。肉可以吃。
呈子,chénɡ•zi,呈文（多指老百姓给官府的）。
橙子,chénɡ•zi,橙树的果实。
秤盘子,chènɡpán•zi,秤上的盘子，一般用金属做成。用来盛（chénɡ）所称的物品。
痴子,chī•zi〈方〉,①傻子。②疯子。
池子,chí•zi〈口〉,①蓄水的坑。②指浴池。③指舞池。④旧时指剧场正厅的前部。
匙子,chí•zi,舀液体或粉末状物体的小勺。
尺子,chǐ•zi,量长度的器具。
翅子,chì•zi,①鱼翅。②〈方〉翅膀。
虫子,chónɡ•zi,昆虫和类似昆虫的小动物。
冲子,chònɡ•zi,用金属做成的一种打眼工具。也作铳子。
绸子,chóu•zi,薄而软的丝织品。
丑婆子,chǒupó•zi,戏曲中扮演中老年妇女的丑角。
厨子,chú•zi〈口〉,厨师。
搋子,chuāi•zi,疏通下水道的工具，由长柄和橡胶碗构成。
椽子,chuán•zi,放在檩上架着屋面板和瓦的木条。（图见387页“房子”）
串子,chuàn•zi,连贯起来的东西：钱～。
窗格子,chuānɡɡé•zi,窗户上用木条或铁条交错制成的格子。（图见387页“房子”）
窗屉子,chuānɡtì•zi＜方＞,窗户上糊冷布或钉铁纱等用的木框子。
窗子,chuānɡ•zi,窗户。
床子,chuánɡ•zi,①机床。②〈方〉像床的货架：菜～｜羊肉～。
创牌子,chuànɡpái•zi以产品质量或服务质量赢得顾客信任，从而提高产品或企业的知,度。
锤子,chuí•zi,敲打东西的工具。前有金属等材料做的头，有一个与头垂直的柄。
戳子,chuō•zi〈口〉,图章。
醋罐子,cùɡuàn•zi,醋坛子。
醋坛子,cùtán•zi,比喻在男女关系上嫉妒心很强的人。也说醋罐子。
汆子,cuān•zi,烧水用的薄铁筒，细圆柱形，可以插入炉子火口里，使水开得快。
镩子,cuān•zi,冰镩。
村子,cūn•zi,村庄。
矬子,cuó•zi＜方＞,身材短小的人。
大伯子,dàbǎi•zi〈口〉,丈夫的哥哥。
大姑子,dà•ɡū•zi〈口〉,丈夫的姐姐。
大舅子,dàjiù•zi〈口〉,妻子的哥哥。
大姨子,dàyí•zi〈口〉,妻子的姐姐。
大轴子,dàzhòu•zi,一次演出的若干戏曲节目中排在最末的一出戏。也叫大轴。
呆子,dāi•zi,傻子。
带子,dài•zi,①用皮、布等做成的窄而长的条状物，用来绑扎衣物。②录音带、录像带的俗称。
袋子,dài•zi,口袋：面～。
单子,dān•zi,①盖在床上或包在被、褥上的大幅布：布～｜床～｜褥～。②分项记载事物的纸片：菜～｜要买些什么，请开个～。
胆子,dǎn•zi,胆量：～不小。
掸子,dǎn•zi,用鸡毛或布绑成的除去灰尘的用具。
担子,dàn•zi,①扁担和挂在两头的东西：一副～。②比喻担负的责任：我们不怕～重，一定要把事情办好。
蛋子,dàn•zi,蛋。
当子,dānɡ•zi〈口〉,空儿；空隙：不要留那么大的～，靠近一点。
挡子,dǎnɡ•zi,遮挡用的东西：窗～。
当家子,dànɡjiā•zi〈口〉,同宗族的人；本家。
荡子,dànɡ•zi〈方〉,浅水湖。
刀子,dāo•zi,小刀儿。
道子,dào•zi,道1。
稻子,dào•zi,稻。
戥子,děnɡ•zi,测定贵重物品或某些药品重量的小秤，构造和原理跟杆秤相同，盛物体的部分是一个小盘子，最大计量单位是两，小到分或厘。
凳子,dènɡ•zi,有腿没有靠背的、供人坐的家具。
镫子,dènɡ•zi,镫（dènɡ）。
笛子,dí•zi,笛。
底子,dǐ•zi,①底1u：鞋～。②底细；内情：把～摸清了。③基础：～薄｜他的～不大好，可是学习很努力。④可做根据的东西（多指草稿）：发出的文件要留个～｜画画儿要打个～。⑤东西剩下的最后一部分：货～｜粮食～。⑥底1：她穿件白～小紫花的短衫。
地窨子,dìyìn•zi〈口〉,①地下室。②地窖。
癫子,diān•zi〈方〉,疯子。
点子,2diǎn•zi,①关键的地方：这句话说到～上了｜劲儿没使在～上。②主意；办法：出～｜想～。
甸子,diàn•zi〈方〉,放牧的草地。
垫子,diàn•zi,垫在床、椅子、凳子上或别的地方的东西：椅～｜褥～｜草～｜弹簧～｜垫上个～。
调子,diào•zi,①一组音的排列次第和相互关系。②音乐上高低长短配合成组的音。③说话时带的某种情绪：他说话的～很忧郁。④指论调：文章只作了文字上的改动，基本～没有变。
铫子,diào•zi,煎药或烧水用的器具，形状像比较高的壶，口大有盖，旁边有柄，用沙土或金属制成。也作吊子。
