word,pronunciation,sense
坑子,kēnɡ•zi＜口＞,坑：水～。
空架子,kōnɡjià•zi,只有形式或外表，没有实际内容的东西（多指文章、组织机构等）。
空子,kònɡ•zi,①尚未占用的地方或时间：找了个～往里挤｜抽个～到我们这里看一看。②可乘的机会（多指做坏事的）：钻～。
口子,2kǒu•zi,①（山谷、水道等）大的豁口：山谷的～上有一座选矿厂。②（人体、物体的表层）破裂的地方：不小心手上拉（lá）了一个～。
扣帽子,kòumào•zi对人或事强加上现成的不好的,目，如“落后分子”、“自由主义”等：别随便给人扣“自由主义”的帽子。
扣子,kòu•zi,①条状物打成的疙瘩。②纽扣。③章回小说或说书在最紧要、热闹时突然停顿的地方。扣子能引起人对下面情节的关切。
裤子,kù•zi,穿在腰部以下的衣服，有裤腰、裤裆和两条裤腿：一条～。
侉子,kuǎ•zi＜方＞,指口音跟本地语音不同的人（含轻蔑意）。
筷子,kuài•zi,用竹、木、金属等制的夹饭菜或其他东西的细长棍儿：一双～｜竹～｜火～（夹炭火用的）。
款子,kuǎn•zi＜口＞,款项；钱（数目较大的）：汇来一笔～。
筐子,kuānɡ•zi,筐（多指较小的）：菜～。
框子,kuànɡ•zi,框1（多指较小的）：眼镜～｜玻璃～。
盔子,kuī•zi,像瓦盆而略深的容器，多用陶瓷制成。
捆子,kǔn•zi,捆：把芦苇扎成～。
辣子,là•zi〈口〉,辣椒。
赖子,lài•zi,耍无赖的人。
癞子,lài•zi〈方〉,①黄癣：长了一头～。②头上长黄癣的人。
篮子,lán•zi,用藤、竹、柳条、塑料等编成的容器，上面有提梁：菜～｜草～。
烂摊子,làntān•zi,比喻不易收拾的局面或混乱难于整顿的单位。
滥套子,làntào•zi,文章中浮泛不切实际的套语或格式。
廊子,lánɡ•zi,屋檐下的过道或独立的有顶的过道。
劳什子,láoshí•zi〈方〉,使人讨厌的东西。也作牢什子。
老妈子,lǎomā•zi,旧时指年龄较大的女仆。也叫老妈儿。
老婆子,lǎopó•zi,①年老的妇女（多含厌恶意）。②丈夫称妻子（用于年老的）。
老套子,lǎotào•zi,老一套。也说老套。
老头子,lǎotóu•zi,①年老的男子（多含厌恶意）。②妻子称丈夫（用于年老的）。③帮会中人称首领。
老爷子,lǎoyé•zi〈口〉,①尊称年老的男子。②对人称自己的或对方的年老的父亲、公公、岳父。
老油子,lǎoyóu•zi,处世经验多而油滑的人。也说老油条。
老子,lǎo•zi〈口〉,①父亲。②男性的自称（含傲慢意，用于气愤或开玩笑的场合）：～就是不怕，他还能吃了我！
络子,lào•zi,①依照所装的物件的形状，用线结成的网状的小袋子。②绕线绕纱的器具，多用竹子或木条交叉构成，中有小孔，安装在有轴的座子上，用手摇动旋转。
落子,lào•zi,①〈方〉指莲花落等曲艺形式：～馆。②评剧的旧称：唐山～。
乐子,lè•zi〈方〉,①快乐的事：下雨天出不了门儿，下两盘棋，也是个～。②惹人笑的事：他摔了一跤，把端着的金鱼缸也砸了，这个～可真不小。
棱子,lénɡ•zi〈方〉,棱：木头～。
冷脸子,lěnɡliǎn•zi〈方〉,冷淡的脸色；不温和的脸色。
李子,lǐ•zi,①李子树。②李子树的果实。
里子,lǐ•zi,里1：棉袄～。
例子,lì•zi,例：举个～。
栗子,lì•zi,①粟子树。②栗子树的果实。
粒子,lì•zi,粒：豆～｜盐～。
帘子,lián•zi,帘：竹～｜窗～。
脸子,liǎn•zi〈方〉,①容貌（多指美貌，用于不庄重的口气）。②不愉快的脸色：他不会给你～看的。③情面；面子：他是要～的人，不能当着大伙儿丢这个丑。
链子,liàn•zi,①用金属的小环连起来制成的像绳子的东西：铁～。②〈口〉自行车、摩托车等的链条。
梁子,1liánɡ•zi〈方〉,山脊。
梁子,2liánɡ•zi,评书、大鼓等曲艺中曲目的故事提纲。
两口子,liǎnɡkǒu•zi,指夫妻俩：～和和美美地过日子。
两下子,liǎnɡxià•zi①数量词。（动作）几次：轻轻搔了～。②,指本领或技能：别看他眼睛不好，干活儿可真有～｜他就会这～，别的本事没有。
亮牌子,liànɡpái•zi亮出牌子，比喻说出,字、表明身份等。
料子,liào•zi,①衣料：一块衣裳～。②〈方〉特指毛料：穿着一身～中山装。③〈口〉比喻适于做某种事情的人才：不是搞科研的～｜他是个下棋的～。
林子,lín•zi〈口〉,树林。
檩子,lǐn•zi〈方〉,檩。
翎子,línɡ•zi,①清代官吏礼帽上装饰的表示品级的翎毛。②戏曲中武将帽子上所插的雉尾。
绫子,línɡ•zi,像缎子而比缎子薄的丝织品。
领子,lǐnɡ•zi,衣服上围绕脖子的部分。
瘤子,liú•zi〈口〉,肿瘤。
绺子,2liǔ•zi〈方〉,土匪帮伙。
聋子,lónɡ•zi,耳聋的人。
笼子,lónɡ•zi,用竹篾、木条、树枝或铁丝等制成的器具，用来养虫鸟或装东西。
拢子,lǒnɡ•zi,齿小而密的梳子。
笼子,lǒnɡ•zi〈方〉,比较大的箱子。
娄子,lóu•zi〈口〉,乱子；纠纷；祸事：惹～｜捅～｜出～。
篓子,lǒu•zi,用竹子、荆条、苇篾儿等编成的盛东西的器具，从口到底比较深。
漏子,lòu•zi,①〈口〉漏斗。②漏洞：这戏法儿变得让人看不出～来。
炉箅子,lúbì•zi,炉膛和炉底之间承煤漏灰的铁屉子。
炉子,lú•zi,供做饭、烧水、取暖、冶炼等用的器具或装置。
路子,lù•zi,途径；门路：～广｜走～。
驴子,lǘ•zi〈方〉,驴。
绿帽子,lǜmào•zi,绿头巾。
卵子,luǎn•zi〈方〉,卵。
乱子,luàn•zi,祸事；纠纷：闹～｜出～。
轮子,lún•zi,车辆或机械上能够旋转的圆形部件。
骡子,luó•zi,哺乳动物，驴和马交配所生的杂种，比驴大，毛多为黑褐色。寿命长，体力大，我国北方多用作力畜。一般不能生殖。参看746页［𫘝𫘨］、908页〖马骡〗。
麻雷子,máléi•zi,一种爆竹，放起来响声很大。
麻子,má•zi,①人出天花后留下的疤痕：他脸上有几个～。②脸上有麻子的人。
马鞍子,mǎ’ān•zi,放在骡马背上供骑坐的器具，两头高，中间低。
马褡子,mǎdā•zi,挂在马身上的大型褡裢。
马驹子,mǎjū•zi〈口〉,小马。
马子,mǎ•zi〈方〉,马桶。
码子,mǎ•zi,①表示数目的符号：苏州～｜洋～（旧指阿拉伯数字）。②圆形的筹码。③解放前金融界称自己能调度的现款。
麦子,mài•zi,麦的通称。
蛮子,mán•zi,旧时北方人称口音跟自己语音不同的南方人：南～。
幔子,màn•zi〈方〉,幔。
慢性子,mànxìnɡ•zi①形性情迟缓：～人。②,指慢性子的人：她是个～，家里失了火也不会着急。
牤子,mānɡ•zi〈方〉,公牛。
毛孩子,máohái•zi,小孩儿，也指年轻无知的人：十年前你还是一个不懂事的～呢！
毛子,máo•zi,①旧时称西洋人（含贬义）。②〈方〉旧时指土匪。③〈方〉细碎的毛或线：没做什么针线活儿，倒沾了一身布～。
梅子,méi•zi,①梅树。②梅树的果实。
媒子,méi•zi〈方〉,用来诱骗同类上当的人或动物。
煤烟子,méiyān•zi,物体燃烧时，冒出的烟聚积成的黑灰，是制墨的主要原料。
煤砟子,méizhǎ•zi,小块的煤。
糜子,méi•zi,穄子（jì•zi）。
妹子,mèi•zi〈方〉,①妹妹。②女孩子。
猛子,měnɡ•zi,游泳时头朝下钻入水中的动作：扎～｜他身子一纵，一个～就不见了。
绵子,mián•zi〈方〉,丝绵。
面子,1miàn•zi,①物体的表面：被～｜这件袍子的～很好看。②表面的虚荣：爱～｜要～｜你这话伤了他的～。③情面：给～｜碍于～，只好答应了。
面子,2miàn•zi〈口〉,粉末：药～。
苗子,miáo•zi,①〈方〉苗。②比喻继承某种事业的年轻人：他是个好～，有培养前途。③〈方〉苗头。
篾子,miè•zi,篾条；篾片：竹～。
抿子,mǐn•zi,妇女梳头时抹油等用的小刷子。也作笢子。
明子,mínɡ•zi,松明。
抹子,mǒ•zi,瓦工用来抹灰泥的器具。也叫抹刀。
末子,mò•zi,细碎的或成面儿的东西：煤～。
沫子,mò•zi,液体形成的许多小泡；泡沫。
毪子,mú•zi,西藏产的一种氆氇。
模子,mú•zi〈口〉,模型：铜～｜石膏～｜糕饼～。
奶子,nǎi•zi,①〈口〉统称牛奶、羊奶等供食用的动物的乳汁。②〈方〉乳房。③〈方〉奶妈。
南梆子,nánbānɡ•zi,京剧中西皮唱腔的一种。
攮子,nǎnɡ•zi,短而尖的刀，是一种旧式的武器。
脑子,nǎo•zi,①〈口〉脑。②脑筋：他～好，又用功，学习成绩很好｜这个人太没～了，才几天的事儿就忘了。
呢子,ní•zi,一种较厚较密的毛织品，多用来做制服、大衣等。
泥子,nì•zi,油漆木器或铁器时为了使表面平整而涂抹的泥状物，通常用桐油、石膏、松香等制成。也作腻子。
黏涎子,niánxián•zi〈方〉,人嘴里的黏液。
捻子,niǎn•zi,用纸搓成的条状物或用线织成的带状物：药～｜纸～。
碾磙子,niǎnɡǔn•zi,碾子的主要部分，是一个圆柱形的石头，可以轧碎粮食或去掉粮食的皮。也叫碾砣。
碾子,niǎn•zi,①轧碎谷物或去掉谷物皮的石制工具，由碾磙子和碾盘组成。②泛指碾轧东西的工具：汽～｜药～。
镊子,niè•zi,拔除毛或夹取细小东西的用具，一般用金属制成。
妞子,niū•zi〈方〉,小女孩儿。
牛鼻子,niúbí•zi,比喻事物的关键或要害：弄清词义古今异同的情况，就牵住了学习古代汉语的～。
牛脖子,niúbó•zi〈方〉,牛脾气：犯～。
纽子,niǔ•zi,纽扣。
耙子,pá•zi,聚拢和散开柴草、谷物或平整土地的农具，有长柄，一端有铁齿、木齿或竹齿。
拍子,pāi•zi,①拍打东西的用具：苍蝇～｜网球～。②音乐中，计算乐音历时长短的单位：打～（按照乐曲的节奏挥手或敲打）。
盘子,pán•zi,①盛放物品的浅底的器具，比碟子大，多为圆形。②指商品行情。③比喻事物的规模、范围：确定年度的财政收支～。
胖子,pànɡ•zi,肥胖的人。
狍子,páo•zi,鹿的一种，耳朵和眼都大，颈长，尾很短，后肢略比前肢长，冬季毛棕褐色，夏季毛栗红色，臀部灰白色，雄的有角。吃青草、野果和野菌等。
袍子,páo•zi,中式的长衣服。
炮筒子,pàotǒnɡ•zi,比喻性情急躁、心直口快、好发议论的人。
喷子,pēn•zi,喷射液体的器具。
盆子,pén•zi〈口〉,盆。
棚子,pénɡ•zi,棚：草～。
篷子,pénɡ•zi,篷。
坯子,pī•zi,①坯：砖～。②坯酱～｜线～。③指未来可能成为做某事的人（多指青少年）。
皮夹子,píjiā•zi,用薄而软的皮革等做成的扁平小袋，带在身边装钱或其他小的用品。也叫皮夹儿。
皮桶子,pítǒnɡ•zi,做皮衣用的成件的毛皮。也说皮桶儿。
皮子,pí•zi,皮革或毛皮。
貔子,pí•zi〈方〉,黄鼬。
痞子,pǐ•zi,恶棍；流氓。
片子,piàn•zi,①电影胶片，泛指影片：换～｜送～｜这部～获奖了。②X光照相的底片：拍～。③唱片。
篇子,piān•zi〈口〉,篇。
票贩子,piàofàn•zi,倒卖车票、船票或入场券等从中非法牟利的人。
票子,piào•zi,钞票。
瓶子,pínɡ•zi,容器，一般口较小，颈细肚大，多用瓷、玻璃、塑料等制成。
脯子,pú•zi,鸡、鸭等胸部的肉：鸡～。
谱子,pǔ•zi,曲谱。
铺子,pù•zi,设有门面出售商品的处所。
妻子,qī•zi,男女两人结婚后，女子是男子的妻子。
旗子,qí•zi,用绸、布、纸等做成的方形、长方形或三角形的标志，大多挂在杆子上或墙壁上。
起子,1qǐ•zi,①开瓶盖的工具，前端是椭圆形的环，后面有柄，多用金属制成。②〈方〉螺丝刀。③〈方〉焙（bèi）粉。
卡子,qiǎ•zi,①夹东西的器具：头发～。②为收税或警备而设置的检查站或岗哨。
扦子,qiān•zi,①金属、竹子等制成的针状物或主要部分是针状的器物：铁～｜竹～。②插进装着粉末状或颗粒状货物的麻袋等从里面取出样品的金属器具，形状像中空的山羊角。也叫签筒。
钎子,qiān•zi,在岩石上凿孔的工具，用六角、八角或圆形的钢棍制成，有的头上有刃，用压缩空气旋转的钎子当中是空的。
签子,qiān•zi〈口〉,签2。
钱串子,qiánchuàn•zi,①穿铜钱的绳子，比喻过分看重金钱的人。②节肢动物，身体细长，约3—6厘米，由许多环节构成，每个环节有一对细长的脚，触角很长。生活在墙角、石缝等潮湿的地方，吃小虫。也叫钱龙。
钳子,qián•zi,①用来夹住或夹断东西的器具。②〈方〉耳环。
浅子,qiǎn•zi,一种盛东西的用具，一般是圆形，周围的边儿较浅。也说浅儿。
腔子,qiānɡ•zi〈口〉,①胸腔。②动物割去头后的躯干。
茄子,qié•zi,①一年生草本植物，叶椭圆形，花紫色。果实球形或长圆形，紫色，也有白色或浅绿色的，表面有光泽，是常见蔬菜。②这种植物的果实。
曲子,qǔ•zi,曲（qǔ）：这支～好听。
圈子,quān•zi,①圆而中空的平面形；环形；环形的东西：大家在操场上围成一个～◇到公园去兜个～｜说话不要绕～。②集体的范围或活动的范围：小～｜生活～｜他陷在敌人～里了。
瘸子,qué•zi,瘸腿的人；跛子。
裙子,qún•zi,一种围在腰部以下的服装。
瓤子,ránɡ•zi,①瓜果皮里包着种子的肉或瓣儿。②瓤：表～｜秫秸～。
人贩子,rénfàn•zi,贩卖人口的人。
人尖子,rénjiān•zi,出类拔萃的人；特别优秀的人：要论庄稼活儿，在村里他是个～。也说人尖儿。
日子,rì•zi,①日期：这个～好容易盼到了。②时间（指天数）：他走了有些～了。③指生活或生计：～越过越美。
褥子,rù•zi,睡觉时垫在身体下面的东西，用棉花做成，也有用兽皮等制成的。
软刀子,ruǎndāo•zi,比喻使人在不知不觉中受到折磨或腐蚀的手段：～杀人。
腮帮子,sāibānɡ•zi〈口〉,腮。
塞子,sāi•zi,塞住容器口使内外隔绝的东西：瓶～。
嗓子,sǎnɡ•zi,①喉咙：～疼。②嗓音：放开～唱。
嫂子,sǎo•zi〈口〉,哥哥的妻子：二～｜堂房～。
臊子,sào•zi〈方〉,肉末或肉丁（多指烹调好加在别的食物中的）：羊肉～面。
沙子,shā•zi,①细小的石粒。②像沙的东西：铁～。
痧子,shā•zi〈方〉,麻疹。
傻子,shǎ•zi,智力低下，不明事理的人。
筛子,shāi•zi,用竹篾、铁丝等编成的有许多小孔的器具，可以把细碎的东西漏下去，较粗的成块的留在上头。
色子,shǎi•zi,一种游戏用具或赌具，用骨头、木头等制成的立体小方块，六面分刻一、二、三、四、五、六点。有的地区叫骰子（tóu•zi）。
山岗子,shānɡǎnɡ•zi〈口〉,山岗。
山子,shān•zi〈方〉,假山。也叫山子石儿。
扇子,shàn•zi,摇动生风的用具：一把～｜扇（shān）～。
上辈子,shànɡbèi•zi,①上辈：②前世（迷信）。
勺子,sháo•zi,舀东西的用具，略作半球形，有柄。
哨子,shào•zi,用金属或塑料等制成的能吹响的器物，多在集合人员、操练或体育运动时使用。
身子,shēn•zi〈口〉,①身体：～不大舒服。②身孕：她已经有了六七个月的～。
婶子,shěn•zi〈口〉,婶母。
绳子,shénɡ•zi,用两股以上的苘麻、棕毛或稻草等拧成的条状物，主要用来捆东西。
虱子,shī•zi,昆虫，灰白色、浅黄色或灰黑色，有短毛，头小，没有翅膀，腹部大，卵白色，椭圆形。常寄生在人和猪、牛等身体上，吸食血液，能传染斑疹伤寒和回归热等疾病。
狮子,shī•zi,哺乳动物，身体长约3米，四肢强壮，有钩爪，掌部有肉块，尾巴细长，末端有一丛毛，雄狮的颈部有长鬣，全身毛棕黄色。生活在非洲和亚洲西部。捕食羚羊、斑马等动物，吼声很大，有“兽王”之称。
式子,shì•zi,①姿势：他练的这套拳，～摆得很好。②算式、代数式、方程式等的统称。
柿子,shì•zi,①柿树。②柿树的果实。
手腕子,shǒuwàn•zi,手和臂相接的部分。
瘦子,shòu•zi,肌肉不丰满、脂肪少的人。
书呆子,shūdāi•zi,不懂得联系实际只知道啃书本的人。
梳子,shū•zi,整理头发、胡子的用具，有齿，用竹木、塑料等制成。
黍子,shǔ•zi,①一年生草本植物，叶子线形，子实淡黄色，去皮后叫黄米，比小米稍大，煮熟后有黏性。是重要的粮食作物之一，子实可以酿酒、做糕等。②这种植物的子实。
树行子,shùhànɡ•zi,排成行列的树木；小树林。
刷子,shuā•zi,用毛、棕、塑料丝、金属丝等制成的清除脏物或涂抹膏油等的用具，一般为长形或椭圆形，有的带柄：一把～｜鞋～。
双身子,shuānɡshēn•zi〈口〉,指孕妇。
水鳖子,shuǐbiē•zi,鲎（hòu）虫的通称。
水舀子,shuǐyǎo•zi,舀水的大勺子。
锼弓子,sōuɡōnɡ•zi〈方〉,钢丝锯。
粟子,sù•zi〈方〉,谷子。
嗉子,sù•zi,①嗉囔的通称：鸡～。②〈方〉装酒的锡制的或瓷的器皿，像瓶子，底大，颈细长。
碎嘴子,suìzuǐ•zi〈方〉①形说话絮烦：她有点儿～，说起话来没完没了。②,爱说话并且一说起来就没完的人。
穗子,suì•zi,穗1：高粱～｜锦旗的下边有许多金黄色的～。
孙子,sūn•zi,儿子的儿子。
榫子,sǔn•zi,榫头。
梭子,1suō•zi,梭。
梭子,2suō•zi①,机枪、冲锋枪等武器的弹匣。②量用于子弹：一～子弹。
索子,suǒ•zi〈方〉,大绳子或大链子。
台柱子,táizhù•zi,戏班中的主要演员（台：戏台），借指集体中的骨干。
台子,tái•zi,①打台球、乒乓球等时所用的特制的桌子。②〈方〉桌子。③〈口〉台1：戏～｜窗～。
摊子,tān•zi,摊：旧货～。
瘫子,tān•zi,瘫痪的人。
坛子,tán•zi,口小腹大的陶器，多用来盛酒、醋、酱油等。
毯子,tǎn•zi,铺在床上或睡觉时盖在身上的毛织品、棉织品或棉毛混织品，大多有图案或图画。也有铺在地上或挂在墙上的。
探子,1tàn•zi,指在军中做侦察工作的人。
探子,2tàn•zi,长条或管状的用具，用来探取东西，如蛐蛐儿探子（用来伸入穴中把蛐蛐儿撵出来）、粮食探子（用来插入袋中取出少量粮食做样品）。
汤婆子,tānɡpó•zi〈方〉,汤壶。
堂子,tánɡ•zi,①清朝皇室祭神的场所。②〈方〉旧时妓院的别称。
绦子,tāo•zi,用丝线编织成的圆的或扁平的带子，可以镶衣服、枕头、窗帘等的边。
桃子,táo•zi,桃树的果实。
套子,tào•zi,①做成一定形状的、罩在物体外面的东西：伞～。②〈方〉棉衣、棉被里的棉絮：棉花～。③现成的应酬话；陈陈相因的办法：俗～。④用绳子等结成的环状物，比喻圈套。
藤子,ténɡ•zi〈口〉,藤。
梯子,tī•zi,便于人上下的用具，一般用两根长的竹子或木头并排做帮，中间横穿若干根短的竹子或木头制成。也有用金属制成的。
提子,1tí•zi〈方〉,提。
提子,2tí•zi,葡萄的一种，原产美国，比普通葡萄的个儿大。
蹄子,tí•zi,①〈口〉蹄。②〈方〉肘子。③旧时骂女子的话。
屉子,tì•zi,①扁平的盛器，成套的屉子大小相等，可以一层层整齐地摞起来。②某些床或椅子的架子上可以取下的部分，一般用棕绳、藤皮、钢丝等编成。③〈方〉抽屉。
挑子,tiāo•zi,扁担和它两头所挑的东西：菜～。
条子,tiáo•zi,①狭长的东西：纸～。②便条。③〈方〉金条。
贴饼子,tiēbǐnɡ•zi,用玉米面、小米面等做的长圆形厚饼，贴在锅的周围烤熟。
帖子,tiě•zi,帖。
听子,tīnɡ•zi,听2。
桯子,tīnɡ•zi,①锥子等前部的细长金属棍儿：锥～。②蔬菜等的花轴。
亭子,tínɡ•zi,盖在路旁或花园里供人休息用的建筑物，面积较小，大多只有顶，没有墙。
梃子,tǐnɡ•zi,门框、窗框或门扇、窗扇两侧直立的边框。
筒子,tǒnɡ•zi,筒：竹～｜枪～｜袜～。
头子,tóu•zi,首领（含贬义）：土匪～｜流氓～。
秃子,tū•zi,①头发脱光或剃光的人。②〈方〉黄癣。
土包子,tǔbāo•zi,指没有见过世面的人（含讥讽意）。
兔崽子,tùzǎi•zi,幼小的兔子（多用作骂人的话）。
兔子,tù•zi,兔的通称。
团子,tuán•zi,米或粗粮面做成的圆球形食物：糯米～｜玉米面～。
推子,tuī•zi,理发工具，有上下重叠的两排带刃的齿儿，使用时上面的一排齿儿左右移动，把头发剪下来。使用电力的叫电推子。
腿肚子,tuǐdù•zi,小腿后面隆起的部分，是由腓肠肌等形成的。
腿腕子,tuǐwàn•zi,脚腕子。
腿子,tuǐ•zi〈口〉,狗腿子。
屯子,tún•zi〈方〉,村庄。
托子,tuō•zi,某些物件下面起支撑作用的部分；座儿：枪～。
坨子,tuó•zi,成块或成堆的东西：泥～｜盐～｜粉～｜礁石～。
驼子,tuó•zi〈方〉,驼背的人。
砣子,tuó•zi,打磨玉器的砂轮。
娃子,1wá•zi〈方〉,①小孩儿。②某些幼小的动物：猪～。
娃子,2wá•zi,旧时凉山等少数民族地区的奴隶。
袜子,wà•zi,一种穿在脚上的东西，用棉、毛、丝、化学纤维等织成或用布缝成。
崴子,wǎi•zi〈方〉山、水弯曲的地方（多用于地,）：王～（在辽宁）｜长～（在吉林）。
外孙子,wàisūn•zi〈口〉,外孙。
弯子,wān•zi,弯曲的部分。也说弯儿。
丸子,wán•zi,食品，把鱼、肉等剁成碎末，加上作料而团成的丸状物。
腕子,wàn•zi,胳膊（或小腿）下端跟手掌（或脚）相连接的可以活动的部分：手～｜脚～。
汪子,wānɡ•zi〈方〉,汪1：水～。
网子,wǎnɡ•zi,像网的东西，特指妇女罩头发的小网。
望子,wànɡ•zi,店铺标明属于某种行业的标志，多用竹竿高挂在门前，使远近都能看清：酒～。
圩子,wéi•zi①,低洼地区围绕房屋、田地等修建的防水堤岸。也作围子。②同“围子”。
围子,wéi•zi①,围绕村庄的障碍物，用土石筑成，或用密植成的荆棘做成：土～。也作圩子。②同“圩子”。③同“帷子”。
帷子,wéi•zi,围起来做遮挡用的布：床～｜车～。也作围子。
苇子,wěi•zi,芦苇。
位子,wèi•zi,①人所占据的地方；座位。②借指职位。
蚊子,wén•zi,昆虫，成虫身体细长，胸部有一对翅膀和三对细长的脚，幼虫（孑孓）和蛹都生长在水中。雄蚊吸植物的汁液。雌蚊吸人畜的血液，能传播疟疾、丝虫病、流行性乙型脑炎等病。最常见的有按蚊、库蚊和伊蚊三类。
嗡子,wēnɡ•zi,见716页〖京二胡〗。
屋子,wū•zi,房间：一间～。
武把子,wǔbà•zi〈方〉,①指戏曲中表演武打的角色。②把子2。
杌子,wù•zi,凳子（多指矮小的）。
席子,xí•zi,席。
戏报子,xìbào•zi,旧称戏曲演出的招贴。
戏园子,xìyuán•zi,旧指专供演出戏曲的场所。
戏子,xì•zi,旧时称职业的戏曲演员（含轻视意）。
系子,xì•zi〈方〉,联结在器物上，用于提或挂的部分：箩筐～｜秤锤～。
瞎子,xiā•zi,①失去视觉能力的人。②〈方〉结得很不饱满的子粒。
匣子,xiá•zi,①装东西的较小的方形器具，有盖儿。②〈方〉驳壳枪。
下辈子,xiàbèi•zi,来生。
弦子,xián•zi,三弦的通称。
线坯子,xiànpī•zi,粗制的棉线，质地松，可捻成合股儿线。
粯子,xiàn•zi〈方〉,粗麦粉。
香獐子,xiānɡzhānɡ•zi,麝。
箱子,xiānɡ•zi,收藏衣物的方形器具，用皮子、木头、铁皮、塑料等制成。
巷子,xiànɡ•zi〈方〉,巷：～口｜这条～里住着六户人家。
橡子,xiànɡ•zi,橡实。
销子,xiāo•zi,一种形状像钉子的金属棍，横断面多呈圆形，用来插在机件上，起连接或固定作用。也叫销钉。
小辫子,xiǎobiàn•zi,①小辫儿。②比喻把柄：抓～。
小肚子,xiǎodù•zi〈口〉,小腹。
小姑子,xiǎoɡū•zi〈口〉,丈夫的妹妹。也叫小姑儿。
小伙子,xiǎohuǒ•zi〈口〉,青年男子。
小舅子,xiǎojiù•zi,妻子的弟弟。
小圈子,xiǎoquān•zi,①狭小的生活范围：走出家庭的～，投身到火热的社会生活中去。②为个人利益而互相拉拢、互相利用的小集团：搞～。
小日子,xiǎorì•zi,指人口不多、经济上还过得去的家庭生活（多用于年轻夫妇）。
小叔子,xiǎoshū•zi〈口〉,丈夫的弟弟。
小小子,xiǎoxiǎo•zi（～儿）〈口〉,幼小的男孩子。
小姨子,xiǎoyí•zi〈口〉,妻子的妹妹。
小子,xiǎo•zi〈口〉,①男孩子：大～｜二～｜小～｜胖～。②人（用于男性，含轻蔑意）：这～真坏！｜～！你敢骂人！
楔子,xiē•zi,①插在木器的榫子缝里的木片，可以使接榫的地方不活动。②钉在墙上挂东西用的木钉或竹钉。③杂剧里加在第一折前头或插在两折之间的片段；近代小说加在正文前面的片段。
蝎子,xiē•zi,节肢动物，身体多为黄褐色，口部两侧有一对螯，胸部有四对脚，前腹部较粗，后腹部细长，末端有毒钩，用来御敌或捕食。卵胎生。以蜘蛛、昆虫等为食物。可入药。
鞋拔子,xiébá•zi,穿鞋用具，穿较紧的鞋时，放在鞋后跟里往上提，使鞋易于穿上。
鞋子,xié•zi,鞋。
心子,xīn•zi,①物体中心的部分：元宵～。②〈方〉食用的动物心脏。
星子,xīnɡ•zi,①星：吐沫～。②〈方〉星：满天的～。
杏子,xìnɡ•zi〈方〉,杏。
性子,xìnɡ•zi,①性情；脾气：急～｜使～｜这匹马的～很烈。②酒、药等的刺激性：这药～平和。
熊瞎子,xiónɡxiā•zi〈方〉,熊。
袖子,xiù•zi,衣服套在胳膊上的筒状部分。
须子,xū•zi,动植物体上长的像须的东西：白薯～。
虚套子,xūtào•zi,只有形式的应酬礼数：他说话没有～，句句很实在。也说虚套。
旋子,xuán•zi,圈儿：鸟儿见了火光惊飞起来，打了几个～，消失在黑暗中。
旋子,1xuàn•zi,①一种金属器具，像盘而较大，通常用来做粉皮等。②温酒时盛水的金属器具。
旋子,2xuàn•zi,武术的一种动作，甩臂，拧腰，旋腿，平身跃起，双脚落地。
楦子,xuàn•zi,制鞋、制帽时所用的模型，多用木头做成。也叫楦头（xuàn•tou）。
靴子,xuē•zi,帮子略呈筒状高到踝子骨以上的鞋。
茓子,xué•zi,用高粱秆、芦苇等的𥮜儿编制的狭而长的粗席子，可以围起来囤粮食。也作踅子。
压轴子,yāzhòu•zi①□动把某一出戏排做一次戏曲演出中的倒数第二个节目（最后的一出戏叫大轴子）。②□,一次演出的戏曲节目中排在倒数第二的一出戏，现也指一场演出排在最后的较精彩的节目。
鸭子,yā•zi□,鸭的通称。
牙子,1yá•zi〈口〉□,物体周围雕花的装饰或突出的部分：桌椅的～做工精细｜马路～。
牙子,2yá•zi□,旧时为买卖双方撮合从中取得佣金的人（通常卖方为农民、渔民等小生产者，买方为收购商或消费者）。
哑子,yǎ•zi〈方〉□,哑巴。
烟子,yān•zi□,烧火或熬油时的烟上升而聚成的黑色物质，可以制墨。
盐坨子,yántuó•zi,露天的盐堆。
檐子,yán•zi〈口〉,房檐。
眼皮子,yǎnpí•zi〈口〉,①眼皮：困得～都睁不开了。②指眼界，见识：～高｜～浅。
眼珠子,yǎnzhū•zi〈口〉,①眼珠。②比喻最珍爱的人或物品。
燕子,yàn•zi,家燕的通称。
秧子,yānɡ•zi,①秧：树～。②秧：花生～。③秧：猪～。④〈方〉比喻某种人（多含贬义）：病～｜奴才～。
洋鬼子,yánɡɡuǐ•zi,对侵略我国的外国人（多指西洋人）的憎称。
洋嗓子,yánɡsǎnɡ•zi,用西洋发声方法唱歌的嗓音。
样子,yànɡ•zi,①形状：这件衣服～很好看。②人的模样或神情：小姑娘的～真爱人儿｜高高兴兴的～。③作为标准或代表，供人看或模仿的事物：鞋～｜就照这个～做。④〈口〉形势；情势：天要下雨的～｜看～今天观众要超过三千人。
幺蛾子,yāo’é•zi〈方〉,鬼点子；坏主意：他就会出～戏弄人。
腰杆子,yāoɡǎn•zi,①指腰部：挺着～。②比喻可依靠的势力：～硬（有强有力的人或集团支持）。‖也说腰杆儿。
腰子,yāo•zi〈口〉,肾。
